fishball noodles ,"Yellow noodles with minced fish balls and soup. The variations of noodles include normal sized (rare), thin round noodles (you mee) or mee pok (thin flat noodles similar to fettucine)."
oyster omelette ,"Also called Or Luak. Oysters Fried with (or in) an egg omelette. served with a watery chilli sauce and garnished with spring onions or coriander. Two main versions exist, one where The Oysters are mixed in a flour paste to form a gooey sticky base and The other where It is just The Oysters and The egg. The latter version is usually found at zhi char stalls and costs more with bigger-sized oysters."
hainanese ,"One of the Chinese dialect groups, hailing from Hainan Island of China. Traditionally well-known for being in the food trade as chefs and coffee-shop owners. They are most well-known for giving their name to the Chicken Rice dish."
halal-muslim ,"Food compliant with the Muslim way of preparation and cooking. Includes halal food of various ethnic groups including Indians, Arabs, Pakistanis, Indonesians, Thais and even the Straits Chinese (Peranakan)."
har kau,Prawn dumplings with translucent skin; a dim sum staple.
hokkien ,The biggest Chinese dialect group in Singapore well known for their fried noodles (Hokkien Mee).
hokkien mee ,Literally Fried Fujian Noodles. Any of the several styles of fried noodles using a variety of ingredients from prawns to bacon and cuttlefish or squid (sotong). It is not uncommon to find pieces of deep-fried pork lard added to the noodles to bring enhance the taste. This dish should be served with a piece(or half) of lime and generous dollop of chilli paste. Also called 'fried hokkien mee/noodles' or 'hokkien prawn mee/noodles' or a combination of the two.
hor fun,A stir-fried rice noodles dish where the noodles are first pan-fried and a thick sauce with various ingredients (like seafood or beef) is then poured on top of the bed of noodles.
ice kachang ,"Means “ice beans”; Dessert made of ice shavings topped with colourful red and green sweeteners and condensed milk. At the bottom of the ice, should sit some red beans, corn and some attap chee (seed of the attap or nipah palm)"
kway chap ,"Flat rice noodles served in light soya sauce soup with fatty pork, pig's innards (intestines), tau pok (fried beancurd), braised eggs and other side dishes like salted vegetables."
laksa ,"Spicy curry-like soup with thick round rice noodles. Comes in a variety of styles including Penang laksa and Katong Laksa. usually Includes a hard-boiled egg (or half), tau pok (Fried beancurd) and raw cockles."
lontong,A Malay dish made of ketupat (compressed rice cake) cut into small pieces in a vegetable stew with coconut milk.
lor mee ,"Yellow noodles in a thick broth of braised stock soup containing pork, fish cake, braised egg and slices of ngor hiang (wu xiang Chinese five spices sausage). Served with minced garlic/ginger and chilli paste."
mee rebus,"Literally means boiled noodles in Malay. A yellow egg noodles dish with a thick, spicy, slightly sweet gravy made out of potatoes, curry powder and dried shrimps. It is often garnished with boiled eggs, sliced green chilies, spring onions, , fried tofu (tau kwa), fried shallots and bean sprouts."
mee siam,A noodle dish where a slight sweet-tangy gravy is poured over a plate of fine rice noodles (bee hoon) which had been seasoned. The dish is often garnished with boiled eggs and spring onions.
murtabak,"An Indian stuffed pancake or pan fried bread, where the filling is a mixture of beaten eggs, minced meat, diced onions and spices."
mutton soup,"Chinese style semi-clear mutton soup. Served in several options of mutton and innards
Indian-Muslim-style mutton soup (sup kambing in Malay). This is distinguished from its Chinese version with a thick richer soup. This version is well-known for going with tendons, bone (tulang) and roti (french loaf bread). Not to be confused with 'sup buntut', a clear soup concoction from Indonesia made with oxtail. 'Buntut' meaning the tail in Indonesian!"
nasi goreng,Malay fried rice. Can be fried with various ingredients
nasi lemak,"Malay coconut-flavoured rice with fried chicken wings, ikan bilis and other dishes."
ngor hiang,"The term 'Ngor Hiang' or 'Ngoh Hiang' is a Hokkien literal term for five spices(fragrances). The Chinese word is 五香 (pinyin: wu3 xiang1) and other dialect/Cantonese names are 'ng geung fun' and 'ngung heung fun'. These all refer to a blend of five types of spice powders (五香粉) used for cooking and seasoning. Wu-xiang is used all over China, although variations in the number, proportions and types of spices are not uncommon. 

The spice components include cassia bark(Chinese cinnamon), cloves, cumin seeds, star anise, fennel seeds, coriander, pepper (or sichuan pepper), ginger, blue ginger (also known as Thai ginger; Cantonese name lam keong; English name galangal), black cardamom and/or liquorice. 

In Singapore, ngor-hiang, or ngoh-heong, is commonly used to refer to a type of meat sausage made with a thin translucent beancurd skin somewhat similar to caul fat. Stalls selling this normally have a variety of other fried fritters, prawn fritters, beancurd(tau-kwa) and fish-cakes to go with the cut-up rolls. It is common to eat an ala carte selection with a plate of beehoon(vermicelli) together with sweet dipping and chilli sauces. These stalls are very much the Chinese equivalent of the Indian Rojak stalls."
noodles ,All varieties of noodle dishes. Often referred to by the Chinese dialect name 'mee' or Mandarin name 'mian'.
peranakan nonya ,Traditional food style prepared and cooked in the styles of the Peranakan people (Straits Chinese). Peranakan food has a strong Malay flavour and uses many of the local spices.
pig organ soup ,"Traditional Chinese dish of clear soup cooked with lean pork, fatty pork (belly meat), pigs' innards and organs like liver, kidney, intestines and dried blood. The cooking process is a long term requiring the soup and innards (intestines only) to be boiled over several hours. Known by its Chinese name 猪杂汤 (zhu1 za2 tang1)"
popiah ,"Spring roll. 'Popiah' is a Chinese dialect literal for 'thin biscuit', a reference to the thin flour skins used to wrap the spring rolls' ingredients (usually a turnip base with some carrot strips) which are then fried to a brown biscuit-like crispiness. There is also a version that is served with a soft skin wrap that is not fried."
porridge ,"Any of the variety of rice-based porridge or congee. Cooked with ingredients like fish slices, lean pork, chicken meat shreds and/or century eggs. Also refers to the general stalls serving porridge with a variety of side dishes (see Teochew Muay)."
prawn mee,"Also called Hae Mee or prawn noodles. Noodle soup with prawns. Usually comes with a slice or two of fish cake and pork. Variations include pork ribs in place of, or in addition, to prawns. Almost all stalls should have the option of serving a dry version where the soup is served separately from the noodle and prawns."
putu mayam,A South Indian snack of plain white noodles made of rice flour mixed with salt and water. The steamed noodles are eaten with coconut shavings and brown or red sugar.
putu piring,"A steamed rice cake with a filling of melted gula melaka (palm sugar), topped with slightly salted grated coconut to add a savoury touch. A Malay delicacy."
roast meat ,"For local chinese food, refers to any of the varieties of roasted meat including roast duck, roasted chicken, roasted pork, suckling pig (piglet) and char siew (seasoned pork roast)."
rojak,"Rojak is the Malay word for a salad dish of mixed vegetables. The Chinese rojak consists of a salad of mainly pineapple, cucumber, turnip, tau pok (fried beancurd) and you zhar kway (deep-fried dough sticks) freshly mixed in dark prawn paste with sugar. It is eaten with a sprinkle of crushed peanuts (sometimes pre-mixed with the prawn paste)."
roti prata ,"A dough-based flat pancake that is cooked by heating over a flat grill plate. The origins of this Indian dish is a story in itself. It has its roots in southern India*, possibly the city of Chennai (formerly Madras), where it is called parata (variations include parotha or paratha). In Malaysia, this dish is in fact named Roti Chennai (also spelled ""roti chanai"" or ""roti canai""), after the city. Roti prata is commonly served with curry (either vegetable or meat curries), but it is not unusual to see it being eaten plain with white large-grain sugar. Prata-making has been refined to such an art that if you're lucky, you'll sometimes see cooks get theatrical with the flipping and turning of the prata as it's being cooked over the plate. 

* Another source (Anasuya Balamurugan) attributes this dish to Punjabi or vaguely ""Muslim conqueror"" origins. Wherefrom the ""Muslim conquerors"" hailed wasn't made clear, and my guess is it could have been in reference to the Arabs or Turks. Another close cousin to the prata is the naan(also spelt ""nan"" or ""na'an""), which is common in northern/north-western India(Punjab, Rajasthan) and Pakistan. Although made differently (by baking in a tandoor, which is an oven made of clay), it is similar in terms of texture and ingredients."
satay ,"Stick-skewered (kebab) marinated meat strips barbequed over a charcoal fire grill. The meat used is usually beef, mutton and chicken. Pork satay is only offered at Chinese satay stalls."
siew mai,Pork dumpling; a dim sum staple.
soon kueh ,"The translated Chinese name of this dish is 笋粿 (pinyin : sun3 guo3). This is a steamed Chinese dumpling made of rice flour skin with chopped turnips strips as filling. Although the word 'soon' is a Chinese dialect word for bamboo shoot (笋), practically all modern versions of this dish are made with turnip. It can be eaten steamed or fried (to make the skin crispy), with sweet dark soya sauce and chilli paste."
soups ,"All types of soups, from Chinese herbal and tonic soups to English-style oxtail stew soup to Indian-Muslim soup kambing / tulang (mutton soup with bone marrow)."
steamboat ,"Chinese-style hotpot, eaten communally. Side dishes of raw meats(chicken, pork, beef, liver, minced balls), fish, squid(sotong) and vegetables are cooked by dipping into the hotpot which is kept simmering at a boiling temperature. The best part of the steamboat meal is savouring the soup after all the meats and vegetables have been cooked and eaten. It is at this time that the soup is at its richest and tastiest!"
tau kwa ,This word is Chinese dialect (Hokkien/Teochew) for dried/fried beancurd (豆干).
teh tarik ,"A tea drink made with milk (usually condensed or evaporated milk). Traditionally the tea is tarik'ed (pulled) by successive pouring from one container/cup to another and back, however this is not always practised by all shops. Usually Malay or Indian-muslim owned, such stalls typically sell food like roti prata and nasi bryani as well. But some, called 'Sarabat' stalls, are known to sell only drinks."
teochew ,"One of the major Chinese dialect groups in Singapore. Teochew people hail from the coastal city of Shantou in Guangdong province, China. Teochew cuisine is traditionally known for its fish dishes, particularly steamed fish. Very light external flavouring and seasoning (salt, sugar) is a signature of Teochew cooking which seeks to bring out the natural taste of the ingredients used."
teochew kueh ,"Various types of flour-skinned cakes and dumplings filled with rice, yam paste, red bean paste or turnip strips."
thosai,"A South Indian savoury thin pancake made from a batter of fermented pulses and rice flour, cooked on a flat griddle. The dish is usually eaten at with accompaniments such as vegetable stew, curry and chutney. It is also called “dosa”."
vegetarian,"All types of vegetarian foods, including organic, Indian and Chinese varieties.
Chinese-style vegetarian food, including many soya beancurd based dishes, rice cakes, red and green bean pastries, mushrooms and nuts.
Indian-origin vegetarian food including dal, chutney, vadai, thosai (dosai, dosa), idli, poori, and paratha (prata)."
wanton mee ,"Wanton (Chinese 云吞, pinyin: yun2 tun1) is a Cantonese word literally translated as 'swallowing of cloud', and refers to a particular version of the minced meat dumpling common in Chinese cuisine. Wanton (or wantan) mee is a noodle (thin yellow noodles) dish served either in soup, or with a separate bowl of soup containing the wantons. The wanton dumpling is usually a translucent flour skin wrapped around minced meat (usually pork) fillings. In Singapore, it more common than not to include char siew (slow barbequed sweetened pork) as part of the dish."
western food ,"Western food' is a common term for hawker centre stalls serving European or American style grilled and pan-fried meats such as beef steaks, pork and chicken chops or cutlets and sausages. It is often served with french fries, slices of cucumber/tomato, baked beans and a piece of bread (with butter; rarely toasted garlic bread). Most stalls will provide a simple soup (usually mushroom) as an extra order. Traditionally, such stalls were dominated by the Hainanese group, although, like most common dishes, the dominance of the original ethnic sub-group has become blurred in recent times. It is possible to find Halal 'western food' as well, though prices tend to be much higher than (about double) that of the Chinese stalls."
xiao long bao,Its name means dumpling in a small bamboo basket. A steamed dumpling with a thin skin enveloping a meat filling and broth. It is usually eaten with cut ginger and vinegar dip.
yong tau foo ,"Also spelled 'Yong Tau Hu', 'Yong Tow Foo' and 'Yong Tow Hu'. An assortment of pre-cooked ingredients mostly made from a soya beancurd base (tau hu, tau kwa) and vegetables such as kangkong and mushrooms. The customer selects the individual ingredients in an a la carte manner and the server reheats them with the choice of noodles in hot boiling soup. The most common noodles are thick yellow noodles and bee hoon (vermicelli), served in the soup, or in a separate bowl with the ingredients."
you tiao,Dough fritters  or Chinese crullers – long and golden brown and often eaten with porridge or soya milk.
zhi char ,"An all-rounder Chinese food stall serving a wide variety of a la carte dishes usually with white steamed rice and soups. A zhi char stall usually has the highest sales turnover of the eating outlet that it occupies and thus forms the anchor tenant and main draw of the eating place, typically a coffeeshop. Also spelled 'zhi cha', 'zi char', 'zi cha', 'cze char', 'tze char'; in Mandarin, 煮炒 (pinyin: zhu2 chao3) which literally means 'cook & fry', in reference to the de rigueur use of frying (almost always with woks) in preparing most dishes."
